/Users/shmuel/VENVs/AI-Final-Project/bin/python /Users/shmuel/PycharmProjects/AI-Final-Project/Checkers.py -a=rl -b=random -d=no -n=1000 -m=train
Game Mode: ['train']
Player name: pa
RL weights file loads from path: objects/pa_Q_LearningAgent.pkl
RL weights file loads from path: objects/pa_Q_LearningAgent.pkl
Episode 226/1000, BLACK: 117, WHITE: 85, Ties: 24
Episode 227/1000, BLACK: 117, WHITE: 85, Ties: 25
Episode 228/1000, BLACK: 118, WHITE: 85, Ties: 25
Episode 229/1000, BLACK: 118, WHITE: 86, Ties: 25
Episode 230/1000, BLACK: 119, WHITE: 86, Ties: 25
Episode 231/1000, BLACK: 119, WHITE: 87, Ties: 25
Episode 232/1000, BLACK: 119, WHITE: 88, Ties: 25
Episode 233/1000, BLACK: 119, WHITE: 89, Ties: 25
Episode 234/1000, BLACK: 120, WHITE: 89, Ties: 25
Episode 235/1000, BLACK: 121, WHITE: 89, Ties: 25
Episode 236/1000, BLACK: 121, WHITE: 90, Ties: 25
Episode 237/1000, BLACK: 121, WHITE: 90, Ties: 26
Episode 238/1000, BLACK: 121, WHITE: 91, Ties: 26
Episode 239/1000, BLACK: 121, WHITE: 92, Ties: 26
Episode 240/1000, BLACK: 122, WHITE: 92, Ties: 26
Episode 241/1000, BLACK: 122, WHITE: 93, Ties: 26
Episode 242/1000, BLACK: 122, WHITE: 94, Ties: 26
Episode 243/1000, BLACK: 122, WHITE: 95, Ties: 26
Episode 244/1000, BLACK: 122, WHITE: 96, Ties: 26
Episode 245/1000, BLACK: 122, WHITE: 97, Ties: 26
Episode 246/1000, BLACK: 123, WHITE: 97, Ties: 26
Episode 247/1000, BLACK: 123, WHITE: 98, Ties: 26
Episode 248/1000, BLACK: 123, WHITE: 99, Ties: 26
Episode 249/1000, BLACK: 124, WHITE: 99, Ties: 26
Episode 250/1000, BLACK: 124, WHITE: 100, Ties: 26
Episode 251/1000, BLACK: 124, WHITE: 101, Ties: 26
Episode 252/1000, BLACK: 124, WHITE: 102, Ties: 26
Episode 253/1000, BLACK: 125, WHITE: 102, Ties: 26
Episode 254/1000, BLACK: 125, WHITE: 103, Ties: 26
Episode 255/1000, BLACK: 125, WHITE: 104, Ties: 26
Episode 256/1000, BLACK: 125, WHITE: 105, Ties: 26
Episode 257/1000, BLACK: 125, WHITE: 106, Ties: 26
Episode 258/1000, BLACK: 126, WHITE: 106, Ties: 26
Episode 259/1000, BLACK: 127, WHITE: 106, Ties: 26
Episode 260/1000, BLACK: 127, WHITE: 107, Ties: 26
Episode 261/1000, BLACK: 128, WHITE: 107, Ties: 26
Episode 262/1000, BLACK: 129, WHITE: 107, Ties: 26
Episode 263/1000, BLACK: 130, WHITE: 107, Ties: 26
Episode 264/1000, BLACK: 130, WHITE: 108, Ties: 26
Episode 265/1000, BLACK: 130, WHITE: 109, Ties: 26
Episode 266/1000, BLACK: 130, WHITE: 110, Ties: 26
Episode 267/1000, BLACK: 131, WHITE: 110, Ties: 26
Episode 268/1000, BLACK: 131, WHITE: 110, Ties: 27
Episode 269/1000, BLACK: 131, WHITE: 111, Ties: 27
Episode 270/1000, BLACK: 131, WHITE: 112, Ties: 27
Episode 271/1000, BLACK: 131, WHITE: 112, Ties: 28
Episode 272/1000, BLACK: 131, WHITE: 113, Ties: 28
Episode 273/1000, BLACK: 131, WHITE: 114, Ties: 28
Episode 274/1000, BLACK: 132, WHITE: 114, Ties: 28
Episode 275/1000, BLACK: 132, WHITE: 115, Ties: 28
Episode 276/1000, BLACK: 132, WHITE: 116, Ties: 28
Episode 277/1000, BLACK: 132, WHITE: 116, Ties: 29
Episode 278/1000, BLACK: 132, WHITE: 117, Ties: 29
Episode 279/1000, BLACK: 132, WHITE: 118, Ties: 29
Episode 280/1000, BLACK: 133, WHITE: 118, Ties: 29
Episode 281/1000, BLACK: 133, WHITE: 119, Ties: 29
Episode 282/1000, BLACK: 133, WHITE: 120, Ties: 29
Episode 283/1000, BLACK: 133, WHITE: 121, Ties: 29
Episode 284/1000, BLACK: 133, WHITE: 122, Ties: 29
Episode 285/1000, BLACK: 133, WHITE: 123, Ties: 29
Episode 286/1000, BLACK: 134, WHITE: 123, Ties: 29
Episode 287/1000, BLACK: 134, WHITE: 124, Ties: 29
Episode 288/1000, BLACK: 134, WHITE: 124, Ties: 30
Episode 289/1000, BLACK: 134, WHITE: 124, Ties: 31
Episode 290/1000, BLACK: 134, WHITE: 125, Ties: 31
Episode 291/1000, BLACK: 134, WHITE: 126, Ties: 31
Episode 292/1000, BLACK: 135, WHITE: 126, Ties: 31
Episode 293/1000, BLACK: 135, WHITE: 127, Ties: 31
Episode 294/1000, BLACK: 136, WHITE: 127, Ties: 31
Episode 295/1000, BLACK: 136, WHITE: 128, Ties: 31
Episode 296/1000, BLACK: 136, WHITE: 129, Ties: 31
Episode 297/1000, BLACK: 137, WHITE: 129, Ties: 31
Episode 298/1000, BLACK: 137, WHITE: 129, Ties: 32
Episode 299/1000, BLACK: 137, WHITE: 130, Ties: 32
Episode 300/1000, BLACK: 138, WHITE: 130, Ties: 32
Episode 301/1000, BLACK: 139, WHITE: 130, Ties: 32
Episode 302/1000, BLACK: 139, WHITE: 131, Ties: 32
Episode 303/1000, BLACK: 140, WHITE: 131, Ties: 32
Episode 304/1000, BLACK: 140, WHITE: 132, Ties: 32
Episode 305/1000, BLACK: 141, WHITE: 132, Ties: 32
Episode 306/1000, BLACK: 142, WHITE: 132, Ties: 32
Episode 307/1000, BLACK: 143, WHITE: 132, Ties: 32
Episode 308/1000, BLACK: 143, WHITE: 133, Ties: 32
Episode 309/1000, BLACK: 143, WHITE: 133, Ties: 33
Episode 310/1000, BLACK: 144, WHITE: 133, Ties: 33
Episode 311/1000, BLACK: 144, WHITE: 134, Ties: 33
Episode 312/1000, BLACK: 145, WHITE: 134, Ties: 33
Episode 313/1000, BLACK: 146, WHITE: 134, Ties: 33
Episode 314/1000, BLACK: 147, WHITE: 134, Ties: 33
Episode 315/1000, BLACK: 148, WHITE: 134, Ties: 33
Episode 316/1000, BLACK: 148, WHITE: 135, Ties: 33
Episode 317/1000, BLACK: 148, WHITE: 136, Ties: 33
Episode 318/1000, BLACK: 149, WHITE: 136, Ties: 33
Episode 319/1000, BLACK: 150, WHITE: 136, Ties: 33
Episode 320/1000, BLACK: 151, WHITE: 136, Ties: 33
Episode 321/1000, BLACK: 152, WHITE: 136, Ties: 33
Episode 322/1000, BLACK: 152, WHITE: 137, Ties: 33
Episode 323/1000, BLACK: 152, WHITE: 138, Ties: 33
Episode 324/1000, BLACK: 153, WHITE: 138, Ties: 33
Episode 325/1000, BLACK: 154, WHITE: 138, Ties: 33
Episode 326/1000, BLACK: 154, WHITE: 138, Ties: 34
Episode 327/1000, BLACK: 154, WHITE: 138, Ties: 35
Episode 328/1000, BLACK: 155, WHITE: 138, Ties: 35
Episode 329/1000, BLACK: 156, WHITE: 138, Ties: 35
Episode 330/1000, BLACK: 156, WHITE: 139, Ties: 35
Episode 331/1000, BLACK: 157, WHITE: 139, Ties: 35
Episode 332/1000, BLACK: 158, WHITE: 139, Ties: 35
Episode 333/1000, BLACK: 159, WHITE: 139, Ties: 35
Episode 334/1000, BLACK: 159, WHITE: 140, Ties: 35
Episode 335/1000, BLACK: 160, WHITE: 140, Ties: 35
Episode 336/1000, BLACK: 160, WHITE: 141, Ties: 35
Episode 337/1000, BLACK: 160, WHITE: 142, Ties: 35
Episode 338/1000, BLACK: 161, WHITE: 142, Ties: 35
Episode 339/1000, BLACK: 161, WHITE: 143, Ties: 35
Episode 340/1000, BLACK: 161, WHITE: 144, Ties: 35
Episode 341/1000, BLACK: 162, WHITE: 144, Ties: 35
Episode 342/1000, BLACK: 162, WHITE: 145, Ties: 35
Episode 343/1000, BLACK: 163, WHITE: 145, Ties: 35
Episode 344/1000, BLACK: 163, WHITE: 145, Ties: 36
Episode 345/1000, BLACK: 164, WHITE: 145, Ties: 36
Episode 346/1000, BLACK: 165, WHITE: 145, Ties: 36
Episode 347/1000, BLACK: 165, WHITE: 145, Ties: 37
Episode 348/1000, BLACK: 166, WHITE: 145, Ties: 37
Episode 349/1000, BLACK: 166, WHITE: 146, Ties: 37
Episode 350/1000, BLACK: 167, WHITE: 146, Ties: 37
Episode 351/1000, BLACK: 168, WHITE: 146, Ties: 37
Episode 352/1000, BLACK: 168, WHITE: 147, Ties: 37
Episode 353/1000, BLACK: 169, WHITE: 147, Ties: 37
Episode 354/1000, BLACK: 170, WHITE: 147, Ties: 37
Episode 355/1000, BLACK: 170, WHITE: 148, Ties: 37
Episode 356/1000, BLACK: 171, WHITE: 148, Ties: 37
Episode 357/1000, BLACK: 171, WHITE: 149, Ties: 37
Episode 358/1000, BLACK: 172, WHITE: 149, Ties: 37
Episode 359/1000, BLACK: 172, WHITE: 150, Ties: 37
Episode 360/1000, BLACK: 172, WHITE: 150, Ties: 38
Episode 361/1000, BLACK: 172, WHITE: 150, Ties: 39
Episode 362/1000, BLACK: 173, WHITE: 150, Ties: 39
Episode 363/1000, BLACK: 173, WHITE: 151, Ties: 39
has 3 identical moves
has 3 identical moves
Episode 364/1000, BLACK: 173, WHITE: 151, Ties: 40
Episode 365/1000, BLACK: 174, WHITE: 151, Ties: 40
Episode 366/1000, BLACK: 174, WHITE: 151, Ties: 41
Episode 367/1000, BLACK: 174, WHITE: 151, Ties: 42
Episode 368/1000, BLACK: 175, WHITE: 151, Ties: 42
Episode 369/1000, BLACK: 175, WHITE: 152, Ties: 42
Episode 370/1000, BLACK: 176, WHITE: 152, Ties: 42
Episode 371/1000, BLACK: 176, WHITE: 153, Ties: 42
Episode 372/1000, BLACK: 176, WHITE: 153, Ties: 43
Episode 373/1000, BLACK: 176, WHITE: 154, Ties: 43
Episode 374/1000, BLACK: 176, WHITE: 155, Ties: 43
Episode 375/1000, BLACK: 177, WHITE: 155, Ties: 43
Episode 376/1000, BLACK: 177, WHITE: 156, Ties: 43
Episode 377/1000, BLACK: 177, WHITE: 157, Ties: 43
Episode 378/1000, BLACK: 178, WHITE: 157, Ties: 43
Episode 379/1000, BLACK: 178, WHITE: 158, Ties: 43
Episode 380/1000, BLACK: 179, WHITE: 158, Ties: 43
has 3 identical moves
has 3 identical moves
Episode 381/1000, BLACK: 179, WHITE: 158, Ties: 44
